# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
a 	阿	c=11 d=1.74455e-15 t=48101
a bai ding 	阿伯丁	c=1 d=3.23738e-56 t=48101
a di 	阿迪	c=20 d=1.18366e-53 t=48101
a gan xie 	阿甘鞋	c=2 d=2.44239e-68 t=48101
a he 	呵呵	c=0 d=2.0889e-79 t=48101
a he inboard qu 	呵呵Inboard去	c=1 d=2.09937e-78 t=48101
a hua 	阿華	c=0 d=2.70326e-24 t=48101
a li 	阿里	c=18 d=0.00463337 t=48101
a li ba ba 	阿里巴巴	c=2 d=2.72037e-53 t=48101
a li ma ma 	阿里媽媽	c=5 d=0.615697 t=48101
a li wang wang 	阿里旺旺	c=1 d=6.81936e-56 t=48101
a li yun 	阿里雲	c=78 d=3.41957 t=48101
a qi 	阿七	c=1 d=1.70647e-52 t=48101
a sa fa 	阿薩法	c=1 d=3.13456e-88 t=48101
ai 	唉	c=6 d=2.5599e-29 t=48101
ai 	愛	c=1 d=1.96725e-78 t=48101
ai e 	捱餓	c=1 d=5.81008e-54 t=48101
ai hao zhe 	愛好者	c=1 d=1 t=41612
ai lian 	愛戀	c=2 d=0.000127168 t=48101
ai san ding wu 	挨三頂五	c=1 d=1 t=40970
ai si zhu shou 	愛思助手	c=3 d=3.42653e-47 t=48101
ai yong 	愛用	c=2 d=1 t=46520
ai zheng 	癌症	c=1 d=0.000342239 t=48101
an 	俺	c=1 d=1 t=45885
an 	安	c=1 d=1.99705e-49 t=48101
an 	按	c=4 d=6.92971e-39 t=48101
an de sen 	安德森	c=1 d=1 t=46134
an er kang 	安爾康	c=2 d=3.56802e-53 t=48101
an hei 	暗黑	c=1 d=1 t=44054
an jian 	按鍵	c=2 d=0.0237541 t=48101
an jing 	安靜	c=1 d=1.5403e-82 t=48101
an le 	按了	c=1 d=8.81839e-51 t=48101
an li 	案例	c=3 d=2.5175e-09 t=48101
an ming 	安明	c=0 d=2.79261e-83 t=48101
an ming wei 	安明威	c=40 d=5.56237e-57 t=48101
an mo 	按摩	c=6 d=2.45743e-45 t=48101
an mo bang 	按摩棒	c=2 d=3.0666e-50 t=48101
an mo gun 	按摩棍	c=2 d=2.5311e-50 t=48101
an mo shi 	按摩師	c=1 d=1.383e-50 t=48101
